Date,A,B,C,D,E,F,G,H,I
Mar-79,3.9,43.5,293.5,19.1,152.8,108.6,3.6,84.8,157.5
Apr-79,2.1,7.8,98,0.1,43.3,10.3,0,0.4,22.9
May-79,0.8,1.5,32.7,0.1,13.1,1.2,0,0,0.5
Jun-79,0,0,7.1,0.1,0.5,1.3,0,0,3.1
Jul-79,0,0.2,8.6,0,1.6,0.4,0,0,2.1
Aug-79,0.6,0,26.7,0.1,2,0.6,0,0.1,3.5
Sep-79,0.2,0.9,32.8,0,6.1,1.4,0.1,0,1.3
Oct-79,0,0.2,9.1,0,8.5,3.1,0.1,10.2,42.1
Nov-79,0,0.1,9.4,0,6,3,0.9,4.8,30.1
Dec-79,0,0.5,21.7,0.1,14.2,19.3,0.3,21.2,77.7
Jan-80,0.1,7.7,85.8,0.3,34.8,38.1,0.1,29.5,67.6
Feb-80,0.6,4.8,90.7,0.3,19.4,38.5,2.9,28.1,53.2
Mar-80,5.2,32.4,99.8,2.6,48,57.1,0.6,59.7,112.2
Apr-80,2.2,36.6,128.5,0,17.5,8.6,0,1.2,9.4
May-80,0.1,2,37.1,0,4.7,3.6,0,0.2,1.4
Jun-80,0,0.1,6,0.3,1.3,0.8,0,0,0
Jul-80,0,0,5.7,0,0.2,2.6,1.4,2.7,4.3
Aug-80,0,0,5.8,0,3.2,3.8,0.2,0,4.4
Sep-80,0,0,9.2,0,1.7,3.4,0.2,3.7,21.4
Oct-80,0.9,4.9,97.7,0.5,66.6,30.4,0.1,19.8,61.5
Nov-80,0.7,3.3,66.9,0.1,42.2,17.7,0.1,1.7,14.7
Dec-80,0.4,4.9,69.1,0.4,37,18.2,0.7,11.2,35.5
Jan-81,0.1,2.8,75.1,1,75.7,55.8,0.9,51.9,151.2
Feb-81,3.4,23.9,226.6,1.8,164.7,193.5,3.2,125.1,202.8
Mar-81,11.9,158.5,271.2,6.2,121.4,126.5,5.5,35.6,80.1
Apr-81,0.4,17.6,84.1,0.6,35.2,33.5,2.1,25.9,56.3
May-81,0.4,0.4,24.7,0,0.8,2.6,0,0,0.5
Jun-81,0.1,0.1,18,0,2.2,0.4,0,0,0
Jul-81,0.1,0.1,6.6,0,0.1,0.5,0,0,0
Aug-81,0.2,0.3,13.1,0.6,9.8,8.8,0.2,7.5,33.5
Sep-81,0,0.1,5.2,0,1.5,1.5,0.7,0,13.8
Oct-81,0.1,1.1,72.8,0.2,55.8,7.9,0,0,10.2
Nov-81,0.4,0.7,29.7,0.3,57.6,13.7,0.1,10.2,28.5
Dec-81,0.5,1.1,85.7,0.1,36.6,50.3,0.6,34.3,95.4
Jan-82,0.2,1.7,92.7,0.6,62.5,69.1,0.4,44.4,106
Feb-82,0.1,6.4,111.6,5.5,57.9,121.3,1.4,54.4,78.4
Mar-82,0.1,0.5,71.5,0.7,44.6,65.5,1.6,30.3,97.5
Apr-82,0.9,18,117.9,0.2,43.8,10.9,0.2,12.3,45.7
May-82,0.7,0.5,58,0.2,7.5,1.2,0,0.2,0.6
Jun-82,0,0,3.2,0.2,0.3,0.4,0,0.2,2.4
Jul-82,0,0,5.9,0.1,2,1,0,0.1,0
Aug-82,0.1,0,3.5,0,1.6,2.2,1,0.1,3.2
Sep-82,0.5,0.4,23,0.1,11,5,1.3,6,37.1
Oct-82,1,2.2,95.4,0,46.5,15.9,1,15.2,54
Nov-82,1.4,5.7,104.1,0,41.5,24.3,1.4,14.5,83
Dec-82,5.9,83.4,275.7,0.1,56,8.4,2.2,10.7,19.1
Jan-83,112.8,463.7,326.1,3.5,90.3,20.5,11.4,23.6,24.2
Feb-83,88.2,271.2,166.9,2.5,91.8,41.2,6.8,23.9,26.8
Mar-83,262,506.5,361.6,8.4,224.4,88.9,1,33.6,39.5
Apr-83,411.7,738.8,259.3,1.7,129.9,27.8,1.5,12.3,31
May-83,190.7,517.3,160,0.8,18.5,4.1,4.1,1.7,4.6
Jun-83,69.2,168.7,34.4,0,10.3,1,1.9,0.4,1
Jul-83,0.1,12.2,10.8,0.3,0.3,0.4,3,0.6,0
Aug-83,0,0.1,7.3,1.9,0.1,1.2,3.7,0.9,1.5
Sep-83,0.2,1.4,36.1,0,6.5,1.1,1.6,4,20.4
Oct-83,1.2,8.1,77.4,0,26,1.7,0.3,0.5,10
Nov-83,0.3,0.3,40.7,0,24.1,8.4,0.5,1.1,4.7
Dec-83,2,10.9,128.3,0,85,50.8,0.7,23.7,49.9
Jan-84,1.6,8.6,108.8,1.2,108.9,131.4,5.3,92.3,181
Feb-84,11.4,182.5,406.1,5.6,224.5,205,5.5,133.5,216.8
Mar-84,7.3,72.7,213,0.5,106.9,134.5,14.4,86.6,155.1
Apr-84,2.4,11.1,157.4,0.1,33.7,28.3,0,2.4,26.5
May-84,1.3,2.4,70,0.2,33.8,8.1,0.2,0.5,5.9
Jun-84,0.3,0.6,31.5,0.2,6.3,2,1.7,10.7,7.2
Jul-84,0.3,0.3,22.1,0.2,2.4,0.3,0,0.2,0.2
Aug-84,0.1,0.1,11.1,0.1,1,2.1,0.9,10.1,6.8
Sep-84,0.1,0.2,29.1,0.2,15.2,4.9,0.4,0.9,3.3
Oct-84,0.9,3.9,73.4,0.2,35.8,10.9,1.3,11.2,59.1
Nov-84,0.3,0.2,44.6,0.8,35.2,33.7,0.5,39.4,112.4
Dec-84,0.5,1.8,53.8,0.4,31.2,54,0.3,29.6,95.9
Jan-85,1,4.7,103.8,1.3,26.8,19.5,0.4,20.2,44.3
Feb-85,2.7,19.4,114.2,4,69,65.5,2.5,101.4,207.1
Mar-85,7.6,36.9,137.7,2.3,71.2,73.7,1.4,80,148.1
Apr-85,1.8,1.7,68.1,0.2,33.8,24.5,0.1,26.2,85.6
May-85,2.7,3.5,46.7,0.2,16.7,4.4,0,3,16.4
Jun-85,0.1,0.1,11.2,0.3,1.3,4.2,0.8,31.4,10
Jul-85,0.1,0.1,12,0.2,8.7,1.5,0,0.2,0.3
Aug-85,0.3,0.5,10.6,0.5,6.6,0.6,0.1,0.5,1.7
Sep-85,0,0,15.9,0.6,24.7,2.5,1.1,1.1,14.8
Oct-85,0.2,2.8,38.5,0.2,18.1,2.8,1,1.3,10.1
Nov-85,0.5,0,22.2,0.2,13.5,4.8,0.3,10.3,61
Dec-85,0.6,2.4,84.1,0.9,43.6,67.4,3.1,42.4,98.9
Jan-86,5.6,21.4,208.3,2.4,93.8,111.3,4.8,111.1,146.6
Feb-86,2.1,33.4,156.1,3.2,60.7,149.5,14.4,126.7,149.6
Mar-86,2.8,1.4,138.9,1.4,77.9,103.9,0.2,65.9,156.2
Apr-86,4.8,35.9,172.2,0.3,67.3,18.4,0,11,52.6
May-86,0.3,1.3,35,0.3,9.5,8,0.3,2.9,3.2
Jun-86,0,0,7.4,0.3,0.3,1.5,0.1,0.2,5.6
Jul-86,0,0,12.4,0.3,0.4,0.2,0.3,0.6,9.5
Aug-86,0.1,0.3,15.6,0.7,7.6,3.8,0.4,4.1,14.1
Sep-86,0,0.1,14.9,0.3,7.1,0.2,1.4,0.7,9.8
Oct-86,0.1,0.7,27.7,0.1,17.6,1.5,0.2,0.8,8.1
Nov-86,1.8,2.5,70.3,0.2,20.1,9.8,0.8,5.7,9.6
Dec-86,0.4,6.1,133.7,3.1,67.5,57.7,6.5,86.4,129.3
Jan-87,6.1,64.3,203.5,2.4,106.3,110.8,2,116.3,210.6
Feb-87,20.2,142.3,147.6,0.6,87.1,52.5,1.2,31.4,67.1
Mar-87,40.4,223.9,180.1,2.6,60.7,49.3,0.6,15.8,16.4
Apr-87,4.9,84.3,153.9,0.8,41.2,10.8,0,5,8.2
May-87,0,1.8,32,0.1,3.9,0.6,0,3.7,1.1
Jun-87,0,0.2,4.5,0.2,0.3,0,0.1,1.1,1.9
Jul-87,1.8,0.8,19.2,0.7,2.2,1.7,1.5,2.1,13.5
Aug-87,0.4,0.5,11,0.4,2,2.7,0.3,1,4
Sep-87,0.5,0.1,17.5,0.2,17.2,0.7,0.4,0.5,0.9
Oct-87,0.2,1.9,42,0.8,12.8,2.2,0.6,6.5,15.1
Nov-87,0.3,0.1,49.9,0.3,26.5,4.5,0.1,2.2,33.5
Dec-87,0,0.2,40.9,0.1,52.9,19.3,0.1,6.2,24.5
Jan-88,5.8,14,163.2,3.4,80.6,103.8,1.9,111.3,189.9
Feb-88,3.1,16.6,200,2.2,63,81.6,4.9,46.8,84
Mar-88,0.2,2,40.6,1.7,50,80.2,1.3,33.8,129.8
Apr-88,2.7,19.6,132,0.1,59.2,38.2,0.1,10,54.5
May-88,0.5,2.1,55,0.3,18.9,9.6,0,6.6,14.8
Jun-88,0,0,11.9,0.1,0.8,0.1,0.1,0.8,0
Jul-88,0,0.1,4.7,0.2,0.3,0,0.1,0.8,1.2
Aug-88,0,0.4,10.3,0.6,5.8,0.1,0.2,0,0.3
Sep-88,0,0.1,20.8,0.1,9,0.7,2.4,1.2,5.4
Oct-88,0.5,0.4,55.7,0,27.4,6.5,0.1,1.6,8.4
Nov-88,1.5,1.6,60.3,0,18.9,2.4,0.2,2.2,1.2
Dec-88,0.9,1,60.2,5.1,25.3,51,0.2,27.9,76
Jan-89,6.6,46.2,374.3,1.6,103.7,95.2,0.5,112.5,138.9
Feb-89,9.8,141.8,308.8,11.2,163.8,147.9,13.4,148,149.6
Mar-89,6.9,98.4,346.9,1.4,112,147.8,2.4,92.2,157.8
Apr-89,3,30,161.8,0.4,49.8,22.6,0,9.4,45.4
May-89,1.1,0.4,39.1,0.1,10.1,3.6,0,0.8,5.3
Jun-89,0.1,2.9,28.2,0.3,3.8,1.4,0.2,0.4,3
Jul-89,0,0,5.7,0.1,1.5,0.8,0.1,0.1,2.7
Aug-89,0,0,7.2,0.1,3.6,2.7,0.3,0.2,4.4
Sep-89,0,0,29.7,0.3,13.1,6.7,1.2,0,3.9
Oct-89,0.5,3.1,90.3,0.3,54,12.4,0,1.8,5.9
Nov-89,0.1,0.1,13.5,0,13.6,6.8,0,1.1,14.6
Dec-89,0,1,11.7,0,4.7,2.8,0.5,1.9,21.6
Jan-90,0.4,3.1,73.9,0.4,37.1,36.6,0.2,31.9,75.4
Feb-90,1.7,10.2,145.6,0.1,29.4,22.3,0.2,21.3,36.3
Mar-90,0.9,11.3,127.3,0.8,60.2,50.3,3.2,27.7,83.6
Apr-90,0.3,4.7,150.7,0,19.9,8.3,0.3,3.9,33.2
May-90,0.2,1.3,42.5,0.3,11.3,14,0,6.9,8.5
Jun-90,0.1,0.2,24.9,1,7.5,10.5,0.2,17.3,21.7
Jul-90,0,0.1,8.5,0.7,0.2,0.9,0.4,0.1,0.4
Aug-90,0,0,1,0.4,0.4,2,0,1.5,6.7
Sep-90,0.1,0.1,10.8,0.1,6.2,6.2,0,0.6,2.3
Oct-90,1.9,2.4,59.6,0.1,57.3,19.9,0.1,1.6,24.6
Nov-90,1.8,4.1,64.8,0.8,45.3,41,0.5,35.9,63
Dec-90,0.4,2.9,64.6,4.4,36.7,54.2,5.1,98.6,61.4
Jan-91,0.2,7.2,33.6,1.5,37.1,64.9,0.6,81.1,95.4
Feb-91,2.2,26.6,152.5,1,54.8,51,0,35.9,105.4
Mar-91,2.1,40.9,256.9,2.5,91.2,76.2,2.1,82.7,154.2
Apr-91,2.2,4.3,120.2,0.2,41.5,19.7,0,7.7,40.2
May-91,0,4,58.8,0.2,17.4,14,0.1,0.3,6.6
Jun-91,0,0.3,14.6,0.2,0.2,1.8,0.5,9.1,14.1
Jul-91,1.2,0,1.8,0.7,0.8,0.1,0,0.1,0.5
Aug-91,0,0,5.6,1.2,0.6,0,0.1,0.2,1
Sep-91,0.1,0,6.1,0.2,5.9,0.5,0,0.1,3.1
Oct-91,0.2,0.3,26.9,0.2,48.1,10.2,0.3,2.1,13.6
Nov-91,3,0.4,34.4,0.2,34.8,5.4,0.1,2.3,23.6
Dec-91,1.1,3.8,77.3,1.3,29,7.1,1.3,3.9,41.3
Jan-92,0.6,14.6,97.1,0.1,33.2,24.7,1.9,5,50.9
Feb-92,5.4,41.9,122.8,0.7,31.8,27,1.7,3.4,47.4
Mar-92,49.2,212.8,200.3,0.2,84,45.1,0.1,2.9,21.6
Apr-92,32.2,172.1,175.6,0.1,55.3,10.4,1.9,0,10.8
May-92,0.5,57.9,88.6,0.2,19.2,0.5,4.9,0.3,0.1
Jun-92,0,0.4,25.5,0.1,9.7,1.3,0.9,0.2,2.9
Jul-92,0,0.1,5.5,0.5,11.8,1.2,0.3,0,1.7
Aug-92,0,0,7.1,0.2,4,2.3,0.1,2,24.2
Sep-92,0.2,1.1,40,0.1,16.8,0.9,0.4,2.4,1.8
Oct-92,0.6,0.9,39.2,0.1,35.5,18.4,0.3,4.1,24.4
Nov-92,0.8,2.7,27.6,0.1,11.7,8.7,0.3,5.1,15.4
Dec-92,1.9,2.3,48.4,0.2,16,28.5,0.3,35.2,67.4
Jan-93,1,3.4,107,0.4,92,87.7,2.4,113.7,159
Feb-93,8.2,134.6,324.2,2.2,172.5,116.8,0.3,35.5,55.2
Mar-93,23.9,219.7,399.6,4,256.8,154.3,2.3,70.6,118.9
Apr-93,6.1,60.4,238.2,0.8,143.4,72.3,0,5.4,33.7
May-93,0.3,11.5,62.6,0.4,17.7,3.5,1.7,2.3,10.8
Jun-93,0.1,0.4,16.2,0.3,1.2,2.5,1.1,0.9,5.6
Jul-93,0.3,0.4,16.7,0.4,2.8,0.7,0.4,0,0.6
Aug-93,0,1.1,6.1,0.1,1.5,3.8,1.1,11.5,20.2
Sep-93,0.1,2.8,47.3,0.2,25.4,7.3,0.1,0.1,10.1
Oct-93,0.6,12.4,91.6,0,50.5,17.1,0.2,7.4,31
Nov-93,0.7,7.4,56.9,0.2,55.9,35,0,4.5,48.9
Dec-93,0.5,6.1,153.9,0.8,73.1,50.8,0.1,20.6,96.5
Jan-94,2.8,23.9,212.9,2.3,88.5,95,6.2,120,214.8
Feb-94,7.5,77,231,2.8,108.4,151.2,9.7,178.2,198.1
Mar-94,21.4,114.2,265.7,1.6,131.9,112.5,1.8,36.3,100.6
Apr-94,3.5,28.9,177.8,1.2,66.6,36.5,0.1,9.8,53.5
May-94,0.5,3.4,44,0.3,24.2,5.3,0,0.8,5.5
Jun-94,0.3,0.3,16.6,0.2,5.1,1,0.1,0.4,1.2
Jul-94,0,0.2,7.1,0.1,1,2.9,0,0,1.1
Aug-94,0.2,0,8.4,0.2,0.7,1.8,0.6,0,0.1
Sep-94,0.3,0.7,24.4,0.2,19.7,6.8,0.1,0,0.9
Oct-94,0.4,0.7,15.9,0,6.7,3.1,0,0.3,2.6
Nov-94,0.2,0.8,44.1,0.1,29.2,16.9,0.3,1.2,21.2
Dec-94,5.8,9.3,90.8,1.2,56,25.6,0.3,17,58.9
Jan-95,2.6,35.1,99.9,1.2,63.5,70.7,4.6,80.7,115.8
Feb-95,8.8,58.8,158,0.2,67.2,41.2,0,4,74.9
Mar-95,0.1,11,177.2,2.1,65.3,97.7,19.8,115.5,132.3
Apr-95,1.6,9.6,85.7,0.2,49.5,20.2,0,2.7,15.7
May-95,0.3,2.9,53.5,0.1,11.6,3.4,0.1,1.3,2
Jun-95,0.1,0,5.4,0.1,1.7,0.1,0,0,0
Jul-95,0.3,0.8,16.1,0.4,3,0.1,0.2,0,0
Aug-95,0,0.1,2.5,0.5,2,0.5,0.3,0,1
Sep-95,0.4,0.2,12.1,0.4,4.8,5.3,0.8,3.9,8.7
Oct-95,0.4,0.4,43.7,0.1,36.1,12.4,0,0.7,7.8
Nov-95,1,2.7,63.1,1.7,44.2,36.8,0,15.8,41
Dec-95,1.8,10.3,106.3,0.1,66.2,44.2,0,18.2,61.2
Jan-96,0.6,6.9,133.6,1.9,94.7,85.2,1.1,44.9,156.9
Feb-96,1.7,12.2,183.4,2.1,130.3,116.7,1.7,95.2,175
Mar-96,5.1,38,183.5,3,123.2,91.1,0,29.2,82.9
Apr-96,2.6,8.1,72.6,0.3,46.3,28.7,0,12.8,57.9
May-96,0.7,1.1,19.7,0.1,11,4,0,0.8,12.3
Jun-96,0.2,0.1,13.2,0.8,1.2,0.2,0.3,0,0.4
Jul-96,0,0,6.8,0.3,0.1,0.2,0,0,0.4
Aug-96,0.1,0.1,8.2,0.3,4.4,4,1,2.3,12.6
Sep-96,0.1,0,13.5,0.1,6.6,4.3,0.2,1,11.3
Oct-96,0.8,1,56.6,0.3,35.4,9.1,0,0.9,5.9
Nov-96,0,0.1,19.8,0.1,15.2,7.5,0.1,5.9,29.3
Dec-96,0.3,0.6,23,0.1,31.5,35.9,0.1,17.9,80.2
Jan-97,0.2,9.3,72.5,3,40.2,73.3,3.8,91.8,176.3
Feb-97,4.6,35.8,148.6,1.8,122,85.3,7.9,94,192.2
Mar-97,0.4,70.6,143,0.4,28.3,49,16.3,55.8,83.4
